ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CRVS,17.85,17.28,13.92,3.3,3358363,1051300,3.19,16.93,23.21,5.13,5.85,19.44,15.1,True,18.21,79,B+,SOLID,🟡
NMAX,9.24,7.62,5.12,21.26,30086307,1041860,28.88,7.47,12.01,19.18,1.56,32.81,6.24,True,48.1,70,B,SOLID,🟡
FCEL,11.8,10.34,6.19,14.12,16896661,2590320,6.52,10.13,15.34,14.13,2.12,40.14,7.25,True,62.67,70,B,SOLID,🟡
POET,12.77,11.09,5.32,15.15,83204477,15146130,5.49,10.87,16.6,14.89,2.01,52.03,6.9,True,84.97,70,B,SOLID,🟡
OBE,12.39,11.74,8.55,5.54,2832542,1028035,2.76,11.51,16.11,7.14,4.2,27.17,9.69,True,27.83,68,C+,MARGINAL,🟠
RDW,11.93,11.38,8.61,4.83,47283407,21204300,2.23,11.15,15.51,6.52,4.6,24.34,9.63,True,23.88,68,C+,MARGINAL,🟠
NRGV,4.41,4.11,2.95,7.17,7561260,3264235,2.32,4.03,5.73,8.56,3.51,28.31,3.45,True,28.01,65,C+,MARGINAL,🟠
NVTS,18.47,16.61,8.05,11.2,82584924,24348565,3.39,16.28,24.01,11.87,2.53,51.54,10.41,True,77.36,64,C+,MARGINAL,🟠
BLDP,3.5,3.44,2.34,1.74,7327354,3295660,2.22,3.37,4.55,3.68,8.15,31.98,2.72,True,28.89,63,C+,MARGINAL,🟠
NKLR,7.3,6.56,4.2,11.28,1211569,505455,2.4,6.43,9.49,11.93,2.51,35.9,5.16,True,41.51,58,C,MARGINAL,🟠
