ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
NP,30.47,29.25,24.01,4.18,1343431,334570,4.02,28.66,39.61,5.93,5.06,17.91,26.52,True,14.89,86,A,CLEAN,🟢
SEZL,99.82,91.7,74.85,8.85,3299712,763765,4.32,89.87,129.77,9.97,3.01,18.38,79.29,True,25.9,82,B+,SOLID,🟡
PTRN,16.95,14.51,12.71,16.82,4640655,689090,6.73,14.22,22.04,16.11,1.86,12.41,13.68,True,23.91,81,B+,SOLID,🟡
COLD,14.98,12.98,11.78,15.37,13499127,3570535,3.78,12.72,19.47,15.06,1.99,9.24,12.48,True,19.99,79,B+,SOLID,🟡
HIMX,16.03,12.54,10.68,27.83,24688352,2865320,8.62,12.29,20.84,23.34,1.29,14.83,11.41,True,40.46,78,B+,SOLID,🟡
FUN,22.75,20.73,17.35,9.74,6642288,1603810,4.14,20.32,29.57,10.7,2.8,16.3,19.18,True,18.63,78,B+,SOLID,🟡
LFST,8.85,7.77,6.74,13.9,13663508,4296145,3.18,7.61,11.51,13.96,2.15,13.26,7.12,True,24.27,78,B+,SOLID,🟡
RXO,23.15,20.38,17.65,13.59,5957324,1885990,3.16,19.97,30.09,13.73,2.19,13.4,18.74,True,23.56,78,B+,SOLID,🟡
RGC,31.47,30.82,26.51,2.11,362066,91720,3.95,30.2,40.91,4.02,7.45,13.98,29.05,True,8.32,76,B+,SOLID,🟡
PRMB,22.24,21.33,19.17,4.27,8611183,3848030,2.24,20.9,28.91,6.01,4.99,10.13,20.14,True,10.43,76,B+,SOLID,🟡
FA,15.76,13.58,12.07,16.05,3518573,1005155,3.5,13.31,20.49,15.56,1.93,11.12,12.65,True,24.55,75,B+,SOLID,🟡
HRB,36.28,32.62,29.12,11.22,6092563,2279065,2.67,31.97,47.16,11.89,2.52,10.73,31.33,True,15.81,75,B+,SOLID,🟡
