ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
RAL,57.45,49.65,42.81,15.71,6301982,1260685,5.0,48.66,74.69,15.31,1.96,13.78,46.44,True,23.71,81,B+,SOLID,🟡
SE,97.05,91.97,81.84,5.52,12128687,4082120,2.97,90.13,126.17,7.13,4.21,11.01,87.31,True,11.16,79,B+,SOLID,🟡
HLIO,77.45,70.23,65.13,10.28,763446,260640,2.93,68.83,100.68,11.14,2.69,7.26,68.47,True,13.12,79,B+,SOLID,🟡
PACS,40.74,36.79,31.85,10.74,2752892,717430,3.84,36.05,52.96,11.5,2.61,13.43,34.45,True,18.27,78,B+,SOLID,🟡
ARMK,48.55,46.88,44.14,3.56,5942169,2794115,2.13,45.94,63.11,5.37,5.59,5.84,45.38,True,6.98,77,B+,SOLID,🟡
QUBT,11.74,10.53,7.98,11.49,127982223,17758685,7.21,10.32,15.26,12.1,2.48,24.22,9.52,True,23.35,76,B+,SOLID,🟡
HALO,71.17,70.32,62.38,1.2,3390797,1442955,2.35,68.91,92.51,3.16,9.48,11.29,66.25,True,7.42,66,C+,MARGINAL,🟠
