ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CECO,73.34,67.68,61.03,8.36,1282829,425085,3.02,66.33,95.34,9.56,3.14,9.83,63.98,True,14.63,86,A,CLEAN,🟢
OMCL,45.18,39.51,33.78,14.35,1426700,424245,3.36,38.72,58.73,14.3,2.1,14.5,36.4,True,24.12,78,B+,SOLID,🟡
KNSA,53.36,49.87,41.49,7.0,2239093,689925,3.25,48.87,69.37,8.41,3.57,16.8,46.31,True,15.23,78,B+,SOLID,🟡
LFST,7.64,7.49,6.3,2.07,4239853,1691575,2.51,7.34,9.94,3.99,7.52,15.89,6.7,True,14.15,73,B,SOLID,🟡
CNC,49.7,44.12,36.42,12.65,11166218,5172665,2.16,43.24,64.61,13.0,2.31,17.45,38.38,True,29.49,68,C+,MARGINAL,🟠
