ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
HLIO,77.57,70.23,65.13,10.45,1087007,261555,4.16,68.83,100.84,11.27,2.66,7.26,68.47,True,13.28,86,A,CLEAN,🟢
PACS,41.01,36.79,31.85,11.47,3622501,718160,5.04,36.05,53.31,12.08,2.48,13.43,34.46,True,19.01,84,B+,SOLID,🟡
SE,96.02,91.97,81.84,4.4,14028462,4086015,3.43,90.13,124.83,6.13,4.89,11.01,87.25,True,10.05,82,B+,SOLID,🟡
RAL,59.16,49.65,42.81,19.15,7985595,1271065,6.28,48.66,76.91,17.75,1.69,13.78,46.52,True,27.16,81,B+,SOLID,🟡
ARMK,48.41,46.88,44.14,3.26,7816098,2794115,2.8,45.94,62.93,5.1,5.89,5.84,45.38,True,6.69,80,B+,SOLID,🟡
QUBT,11.78,10.53,7.98,11.87,139826186,17861835,7.83,10.32,15.31,12.4,2.42,24.22,9.52,True,23.75,76,B+,SOLID,🟡
ALKS,38.29,36.6,32.84,4.62,3979124,1879605,2.12,35.87,49.78,6.33,4.74,10.27,34.44,True,11.18,76,B+,SOLID,🟡
HALO,70.93,70.32,62.38,0.87,4851121,1443160,3.36,68.91,92.21,2.84,10.55,11.29,66.24,True,7.08,72,B,SOLID,🟡
