ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CPRX,29.27,28.1,24.69,4.16,9272393,1359640,6.82,27.54,38.05,5.92,5.07,12.14,25.77,True,13.59,92,A+,CLEAN,🟢
ORKA,76.39,71.0,55.1,7.59,6877961,1270060,5.42,69.58,99.31,8.91,3.37,22.39,62.56,True,22.11,80,B+,SOLID,🟡
CLF,10.61,10.0,8.52,6.1,44177671,15839340,2.79,9.8,13.79,7.63,3.93,14.8,9.19,True,15.51,79,B+,SOLID,🟡
NE,53.6,51.33,45.44,4.43,3227080,1391395,2.32,50.3,69.68,6.16,4.87,11.47,48.97,True,9.46,72,B,SOLID,🟡
OGN,13.16,11.58,5.82,13.64,133794540,9053040,14.78,11.35,17.11,13.77,2.18,49.74,8.19,True,60.72,70,B,SOLID,🟡
LAC,5.25,5.17,3.89,1.55,22811917,7812380,2.92,5.07,6.83,3.49,8.59,24.76,4.42,True,18.76,69,C+,MARGINAL,🟠
CRML,14.45,13.75,7.52,5.09,45678255,14067220,3.25,13.47,18.78,6.75,4.45,45.31,9.64,True,49.97,68,C+,MARGINAL,🟠
