ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
LQDA,53.13,42.96,35.8,23.67,6861722,1007755,6.81,42.1,69.07,20.76,1.45,16.67,39.72,True,33.76,74,B,SOLID,🟡
BW,18.91,17.53,13.58,7.87,9167377,2873350,3.19,17.18,24.58,9.15,3.28,22.53,16.03,True,17.96,74,B,SOLID,🟡
PLUG,3.52,3.44,2.95,2.33,148994237,70958185,2.1,3.37,4.58,4.23,7.1,14.24,3.13,True,12.44,74,B,SOLID,🟡
SKYT,35.09,34.4,30.0,2.01,3584072,1211360,2.96,33.71,45.62,3.93,7.64,12.79,32.82,True,6.92,73,B,SOLID,🟡
HIMX,20.65,19.3,10.68,6.99,13431005,4591640,2.93,18.91,26.84,8.41,3.57,44.66,12.41,True,66.38,65,C+,MARGINAL,🟠
HYMC,43.71,43.44,33.24,0.62,4181055,1972300,2.12,42.57,56.82,2.61,11.5,23.49,39.11,True,11.77,62,C+,MARGINAL,🟠
ACHR,6.54,6.53,5.47,0.08,65519520,30561880,2.14,6.4,8.5,2.07,14.46,16.3,5.99,True,9.21,59,C,MARGINAL,🟠
NBTX,53.55,45.6,30.21,17.45,203709,86120,2.37,44.68,69.61,16.56,1.81,33.74,35.59,True,50.45,58,C,MARGINAL,🟠
