ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
AD,55.92,50.28,47.01,11.22,847315,102010,8.31,49.27,72.7,11.88,2.52,6.5,49.21,True,13.63,88,A,CLEAN,🟢
MNST,86.31,78.37,74.6,10.13,15111082,4502385,3.36,76.8,112.2,11.01,2.72,4.81,76.85,True,12.3,82,B+,SOLID,🟡
WSC,28.1,23.66,20.14,18.77,13185590,2592740,5.09,23.19,36.53,17.48,1.72,14.9,21.94,True,28.05,81,B+,SOLID,🟡
DBX,28.9,25.64,23.49,12.74,9822971,3365915,2.92,25.12,37.57,13.07,2.3,8.37,24.48,True,18.04,79,B+,SOLID,🟡
PTCT,73.69,72.68,63.18,1.39,5793803,1147050,5.05,71.23,95.8,3.34,8.97,13.07,69.06,True,6.7,78,B+,SOLID,🟡
CALY,17.5,15.57,13.99,12.4,7511150,2659260,2.82,15.26,22.75,12.81,2.34,10.15,15.0,True,16.7,75,B+,SOLID,🟡
INOD,84.91,48.92,39.64,73.57,18886358,1101450,17.15,47.94,110.38,43.54,0.69,18.97,45.96,True,84.77,74,B,SOLID,🟡
NSIT,83.86,78.9,65.82,6.29,1101850,507800,2.17,77.32,109.02,7.8,3.85,16.58,74.17,True,13.07,72,B,SOLID,🟡
FLNC,24.18,20.28,11.34,19.2,40490153,7080070,5.72,19.88,31.43,17.79,1.69,44.12,14.08,True,71.72,67,C+,MARGINAL,🟠
FROG,70.52,57.82,42.93,21.96,8672669,2408010,3.6,56.66,91.68,19.65,1.53,25.75,48.53,True,45.33,64,C+,MARGINAL,🟠
