ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
AD,55.77,50.28,47.01,10.92,847315,102010,8.31,49.27,72.5,11.65,2.58,6.5,49.2,True,13.35,88,A,CLEAN,🟢
MNST,86.29,78.37,74.6,10.11,15111082,4502385,3.36,76.8,112.18,10.99,2.73,4.81,76.85,True,12.28,82,B+,SOLID,🟡
WSC,28.1,23.66,20.14,18.77,13185590,2592740,5.09,23.19,36.53,17.48,1.72,14.9,21.94,True,28.05,81,B+,SOLID,🟡
DBX,28.9,25.64,23.49,12.74,9822971,3365915,2.92,25.12,37.57,13.07,2.3,8.37,24.48,True,18.04,79,B+,SOLID,🟡
PTCT,73.69,72.68,63.18,1.39,5793803,1147050,5.05,71.23,95.8,3.34,8.97,13.07,69.06,True,6.7,78,B+,SOLID,🟡
CALY,17.52,15.57,13.99,12.52,7511150,2659260,2.82,15.26,22.78,12.91,2.32,10.15,15.0,True,16.83,75,B+,SOLID,🟡
INOD,84.89,48.92,39.64,73.53,19103654,1101450,17.34,47.94,110.36,43.53,0.69,18.97,45.95,True,84.73,74,B,SOLID,🟡
NSIT,83.79,78.9,65.82,6.2,1232653,507800,2.43,77.32,108.93,7.72,3.89,16.58,74.16,True,12.98,72,B,SOLID,🟡
FLNC,24.16,20.28,11.34,19.1,41238047,7080070,5.82,19.88,31.41,17.72,1.69,44.12,14.08,True,71.59,67,C+,MARGINAL,🟠
FROG,70.55,57.82,42.93,22.02,9174476,2408010,3.81,56.66,91.72,19.68,1.52,25.75,48.53,True,45.38,64,C+,MARGINAL,🟠
