ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CYTK,77.06,67.26,58.65,14.57,13333280,1669440,7.99,65.91,100.18,14.46,2.07,12.8,65.36,True,17.9,84,B+,SOLID,🟡
OPLN,35.03,32.9,30.57,6.46,1525264,609715,2.5,32.24,45.53,7.95,3.78,7.08,31.35,True,11.73,83,B+,SOLID,🟡
EWTX,37.9,35.0,30.12,8.27,3230151,946500,3.41,34.3,49.26,9.49,3.16,13.94,32.6,True,16.24,82,B+,SOLID,🟡
PINS,22.76,21.14,18.75,7.71,41672853,14131230,2.95,20.71,29.59,9.02,3.33,11.28,19.8,True,15.0,79,B+,SOLID,🟡
BLSH,45.54,44.05,36.36,3.38,2887971,1047570,2.76,43.17,59.2,5.21,5.76,17.46,40.32,True,12.96,76,B+,SOLID,🟡
LTH,29.15,28.91,25.94,0.83,3962334,1949390,2.03,28.33,37.89,2.81,10.69,10.27,27.52,True,5.92,66,C+,MARGINAL,🟠
