ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
CEVA,28.87,25.76,18.88,12.07,1580605,337330,4.69,25.24,37.53,12.56,2.39,26.71,21.54,True,34.03,71,B,SOLID,🟡
SYNA,93.86,89.93,71.05,4.37,1768180,699190,2.53,88.13,122.02,6.1,4.92,20.99,77.18,True,21.62,71,B,SOLID,🟡
AIP,26.72,24.88,17.48,7.4,1334673,514930,2.59,24.38,34.74,8.75,3.43,29.74,20.17,True,32.46,68,C+,MARGINAL,🟠
ATOM,8.6,7.32,3.92,17.57,27651219,878860,31.46,7.17,11.18,16.64,1.8,46.41,5.1,True,68.74,67,C+,MARGINAL,🟠
COHU,46.93,46.71,31.93,0.47,3683652,833210,4.42,45.78,61.01,2.46,12.2,31.64,37.4,True,25.49,66,C+,MARGINAL,🟠
MXL,60.32,37.37,17.81,61.41,28696524,2344635,12.24,36.62,78.42,39.29,0.76,52.34,24.55,True,145.67,64,C+,MARGINAL,🟠
OGN,11.26,9.83,5.82,14.55,30139866,7586350,3.97,9.63,14.64,14.45,2.08,40.79,7.82,True,43.95,64,C+,MARGINAL,🟠
POET,15.1,12.95,5.67,16.6,77287726,20822500,3.71,12.69,19.63,15.95,1.88,56.22,7.67,True,96.99,61,C+,MARGINAL,🟠
INTC,82.54,70.33,49.87,17.36,279142137,110280245,2.53,68.92,107.3,16.5,1.82,29.09,59.55,True,38.6,61,C+,MARGINAL,🟠
