ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
MICC,16.66,15.5,12.94,7.48,7281942,1511915,4.82,15.19,21.66,8.82,3.4,16.52,14.37,True,15.94,82,B+,SOLID,🟡
FIG,22.92,21.5,16.6,6.6,77115947,18015435,4.28,21.07,29.8,8.07,3.72,22.79,19.04,True,20.36,78,B+,SOLID,🟡
ENPH,52.89,49.41,29.9,7.04,20275781,7839805,2.59,48.42,68.76,8.45,3.55,39.49,36.83,True,43.6,65,C+,MARGINAL,🟠
PIII,11.29,4.44,2.54,154.28,64791758,134540,481.58,4.35,14.68,61.46,0.49,42.91,3.5,True,222.58,64,C+,MARGINAL,🟠
SEDG,61.76,50.46,37.55,22.39,14444133,3794950,3.81,49.45,80.29,19.93,1.51,25.58,43.94,True,40.55,64,C+,MARGINAL,🟠
